"BLACKROAD OS - HR ONBOARDING WORKFLOW",,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from hr-onboarding.gs",,,,,,,,,,,,
"Active Onboardings:","=COUNTIF(J6:J100,""In Progress"")","| Complete:","=COUNTIF(J6:J100,""Complete"")","| Pending:","=COUNTIF(J6:J100,""Pending"")",,,,,,
,,,,,,,,,,,,
"=== NEW HIRES ===",,,,,,,,,,,,
"Employee ID","Full Name","Personal Email","Position","Department","Manager","Start Date","Location","Type","Status","Progress %","Created"
"EMP0001","[Full Name]","[email@personal.com]","[Position]","[Department]","[Manager Name]","[Start Date]","[Office/Remote]","Full-Time","Pending","0","[Date Added]"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
,,,,,,,,,,,,
"=== ONBOARDING CHECKLIST (Reference) ===",,,,,,,,,,,,
"#","Task","Owner","Timeline","Category",,,,,,,,
"1","Offer letter signed","HR","Pre-start","Documentation",,,,,,,,
"2","Background check complete","HR","Pre-start","Compliance",,,,,,,,
"3","I-9 documents received","HR","Day 1","Documentation",,,,,,,,
"4","W-4 completed","HR","Day 1","Documentation",,,,,,,,
"5","Direct deposit setup","HR","Day 1","Documentation",,,,,,,,
"6","Emergency contact form","HR","Day 1","Documentation",,,,,,,,
"7","Employee handbook acknowledgment","HR","Day 1","Documentation",,,,,,,,
"8","IT accounts created","IT","Day 1","Systems",,,,,,,,
"9","Email setup","IT","Day 1","Systems",,,,,,,,
"10","Equipment issued","IT","Day 1","Equipment",,,,,,,,
"11","Badge/access card","Facilities","Day 1","Equipment",,,,,,,,
"12","Benefits enrollment","HR","Week 1","Benefits",,,,,,,,
"13","Safety training","Training","Week 1","Training",,,,,,,,
"14","Compliance training","Training","Week 1","Training",,,,,,,,
"15","30-day review scheduled","Manager","Week 3","Reviews",,,,,,,,
"16","60-day review scheduled","Manager","Week 7","Reviews",,,,,,,,
"17","90-day review scheduled","Manager","Week 11","Reviews",,,,,,,,
,,,,,,,,,,,,
"=== STATUS OPTIONS ===",,,,,,,,,,,,
"Pending","New hire added, not started yet",,,,,,,,,,
"In Progress","Onboarding underway",,,,,,,,,,
"Complete","All checklist items done",,,,,,,,,,
